id,value
id_0,25.5848097288
id_1,64.2979392704
id_2,18.5223991936
id_3,28.5220055328
id_4,9.09399354962
id_5,31.6780820117
id_6,41.1428313624
id_7,17.4298169605
id_8,51.7129564906
id_9,32.4317190485
id_10,38.1504834558
id_11,59.4219658236
id_12,35.2991714095
id_13,40.2278541276
id_14,27.7153771873
id_15,12.6562068292
id_16,51.7960106263
id_17,23.3551855915
id_18,16.9525207099
id_19,18.6325349243
id_20,15.8739773235
id_21,30.551571536
id_22,39.3868509898
id_23,10.1447722311
id_24,61.6590578049
id_25,45.9642689626
id_26,28.2451308245
id_27,6.79071949082
id_28,29.4920153406
id_29,36.5161695761
id_30,18.4845376171
id_31,11.6025462554
id_32,16.8648206626
id_33,7.97337631197
id_34,15.3845394075
id_35,43.3263281463
id_36,22.3402243126
id_37,28.1633592215
id_38,3.71122663572
id_39,58.8952495439
id_40,46.8664777062
id_41,20.7133935796
id_42,53.3873943533
id_43,18.4715288449
id_44,44.6779751558
id_45,48.5869301781
id_46,57.9001981653
id_47,41.1266089754
id_48,55.6907821088
id_49,39.6535528529
id_50,30.7838843083
id_51,23.5217925773
id_52,40.2065368372
id_53,24.4095160116
id_54,37.1263220375
id_55,37.9836208531
id_56,25.0995422361
id_57,22.088155551
id_58,35.0379477952
id_59,32.5154942694
id_60,12.0730776803
id_61,22.1150893279
id_62,31.9742994154
id_63,53.2613352697
id_64,50.491804234
id_65,26.4214863404
id_66,38.201773169
id_67,52.8427144326
id_68,29.8190580359
id_69,39.9517919585
id_70,64.6569423631
id_71,55.055258995
id_72,41.588975063
id_73,14.6061083289
id_74,14.0745593059
id_75,35.893551519
id_76,62.7935734215
id_77,2.4639648398
id_78,41.4193145491
id_79,42.4525493578
id_80,8.19252701306
id_81,21.7435156962
id_82,6.00136123286
id_83,30.9989029186
id_84,8.57170753854
id_85,5.05882989938
id_86,16.5744926786
id_87,10.6464741305
id_88,19.3395224998
id_89,23.7711611548
id_90,35.5065208827
id_91,11.6431576814
id_92,11.8490771127
id_93,10.2877227988
id_94,37.1733182337
id_95,15.3687828179
id_96,16.7589882928
id_97,9.457950117
id_98,11.132880881
id_99,4.11896183773
id_100,10.3727323754
id_101,17.9964810007
id_102,12.1732612597
id_103,8.57405239845
id_104,13.0156218208
id_105,36.4581314419
id_106,25.4937859072
id_107,8.22143606427
id_108,16.9696465706
id_109,15.524881308
id_110,11.8649592043
id_111,15.82794559
id_112,16.3324107434
id_113,25.3688621618
id_114,19.565875311
id_115,16.0958830288
id_116,7.62364148569
id_117,45.5714686256
id_118,26.6285051392
id_119,0.495259838371
id_120,-0.298242628899
id_121,10.2263980485
id_122,12.5758892682
id_123,12.2145888989
id_124,7.22440475499
id_125,25.0589023588
id_126,22.4877671104
id_127,9.35287226173
id_128,19.8752267318
id_129,13.0005670891
id_130,-0.426440014874
id_131,32.5894656992
id_132,14.9635064742
id_133,20.5344346889
id_134,26.3529199304
id_135,24.796596206
id_136,9.79878648289
id_137,22.116041465
id_138,78.5751963567
id_139,60.8811930368
id_140,27.4606992237
id_141,18.0687003199
id_142,24.7473594195
id_143,7.49632342056
id_144,13.081363624
id_145,9.62425048647
id_146,20.0599651996
id_147,7.60481415904
id_148,12.3949536697
id_149,16.0716097098
id_150,46.4982051808
id_151,20.7108835543
id_152,22.2831742023
id_153,14.3027285036
id_154,13.8758145413
id_155,24.3429753914
id_156,24.237436413
id_157,36.870655865
id_158,3.96489903394
id_159,23.0891520232
id_160,40.3970383407
id_161,19.5365983942
id_162,62.1497181319
id_163,16.8238887263
id_164,34.2040458043
id_165,23.804896801
id_166,23.6624559835
id_167,0.474673376596
id_168,67.6666115807
id_169,14.5172013421
id_170,15.6341923397
id_171,69.9486894205
id_172,20.3930031284
id_173,1.91598096196
id_174,24.4280768888
id_175,-0.864933146279
id_176,8.06198702568
id_177,17.8141679976
id_178,20.8047652921
id_179,24.7764263063
id_180,43.0332818145
id_181,33.1049206257
id_182,29.1031715296
id_183,13.3743708774
id_184,6.93357991476
id_185,42.2556315257
id_186,36.1327958076
id_187,34.1539821386
id_188,16.8207433533
id_189,24.2895249522
id_190,14.9582531692
id_191,15.4232070307
id_192,31.0053205966
id_193,72.1227039281
id_194,30.4901057514
id_195,10.3624633636
id_196,63.1444539704
id_197,16.3845203827
id_198,20.5825895969
id_199,21.074840627
id_200,123.546691025
id_201,22.6625295535
id_202,58.8621804821
id_203,5.37367235113
id_204,60.1696760297
id_205,36.5196518647
id_206,15.0226497656
id_207,14.425280856
id_208,61.9654005734
id_209,13.8658206194
id_210,37.4270468723
id_211,68.494269921
id_212,19.3550298511
id_213,113.440096004
id_214,41.0100606669
id_215,77.5385365731
id_216,91.4131433478
id_217,72.0306701903
id_218,30.3919174046
id_219,19.6895583694
id_220,29.9377474266
id_221,56.7011573826
id_222,26.7998369269
id_223,38.1534679004
id_224,43.6206076617
id_225,10.1264655973
id_226,4.97665308446
id_227,80.7836811919
id_228,30.4120168402
id_229,0.790820384129
id_230,40.6775785809
id_231,15.7659804728
id_232,22.0469926161
id_233,7.65496344693
id_234,15.1303955621
id_235,25.7321504654
id_236,14.3400204658
id_237,2.44446977567
id_238,22.8550996331
id_239,12.6267139762
