id,value
id_0,25.0419204929
id_1,66.2285595745
id_2,21.4286241602
id_3,28.0253749781
id_4,9.92830586177
id_5,33.3301021165
id_6,41.4882404403
id_7,16.5961428526
id_8,49.4538695761
id_9,33.3958610794
id_10,35.6572819659
id_11,60.6968955746
id_12,35.6346877803
id_13,40.6239607892
id_14,29.2477861327
id_15,10.8784617942
id_16,52.768775412
id_17,22.0164413805
id_18,18.3213290792
id_19,19.1936328485
id_20,15.5100645498
id_21,28.7876058603
id_22,39.867777561
id_23,8.58149370234
id_24,56.7970421591
id_25,47.1689708932
id_26,26.1450906707
id_27,7.9885909268
id_28,32.0915274023
id_29,36.0867887106
id_30,16.91160566
id_31,11.3633831127
id_32,16.0267266267
id_33,6.55053353914
id_34,14.5286781786
id_35,44.8522738886
id_36,22.4522067306
id_37,28.3589535137
id_38,5.32287556314
id_39,58.1465326005
id_40,47.9045954821
id_41,22.1520112994
id_42,53.630105941
id_43,18.4730479635
id_44,46.2451940449
id_45,50.1024306582
id_46,58.3424598944
id_47,42.9620580566
id_48,55.9568376398
id_49,39.5478428405
id_50,29.725623573
id_51,22.8836514107
id_52,41.5993376776
id_53,23.9001971707
id_54,39.9285450687
id_55,39.2776647938
id_56,25.1646123428
id_57,21.9530451254
id_58,38.3793960133
id_59,32.2986411704
id_60,10.5052446332
id_61,24.9657908727
id_62,29.7705562056
id_63,53.3461731472
id_64,49.1391792985
id_65,25.0999048299
id_66,37.9681244212
id_67,51.7376520549
id_68,31.0675328494
id_69,37.8083630914
id_70,64.4489745615
id_71,54.1152000691
id_72,44.3049881002
id_73,15.7019417525
id_74,13.3039520797
id_75,34.4445374899
id_76,64.7505911765
id_77,1.32208622684
id_78,40.9374589679
id_79,42.3785622066
id_80,7.34760472177
id_81,21.0310440265
id_82,6.51988569861
id_83,31.4615891481
id_84,6.97518533256
id_85,6.23023047026
id_86,16.5261245738
id_87,10.948737328
id_88,18.7481639325
id_89,24.0789648733
id_90,36.1711210078
id_91,12.7242409969
id_92,11.7922437833
id_93,9.88823969841
id_94,38.1165015344
id_95,15.8287168679
id_96,17.8656195265
id_97,10.4003439453
id_98,11.1190542818
id_99,2.74598278596
id_100,9.87978012517
id_101,20.1199658973
id_102,12.6499298493
id_103,9.55476494533
id_104,11.3165331663
id_105,37.0316666858
id_106,24.8143858095
id_107,7.87131606237
id_108,17.2502861233
id_109,16.3399665127
id_110,11.681265996
id_111,14.9081530862
id_112,16.8422752968
id_113,25.2125281016
id_114,20.166815292
id_115,17.4116791831
id_116,7.204745652
id_117,45.958426549
id_118,24.9680231773
id_119,0.639850298545
id_120,0.29622006705
id_121,11.5006044296
id_122,11.7120922651
id_123,13.5313718461
id_124,9.56993216678
id_125,24.9003041167
id_126,22.5731057694
id_127,9.38527284691
id_128,20.0624808465
id_129,15.6349034163
id_130,-0.19846512771
id_131,33.9138396089
id_132,13.7946684284
id_133,20.7256893696
id_134,26.313630758
id_135,23.1743197113
id_136,9.32794736599
id_137,21.1124717402
id_138,79.3398274794
id_139,62.7061712172
id_140,27.6539152241
id_141,19.3109430728
id_142,25.01437841
id_143,6.98187356168
id_144,13.8094630963
id_145,10.2853495266
id_146,19.3141128122
id_147,7.94226192828
id_148,12.2272887488
id_149,16.7811114882
id_150,47.12906756
id_151,20.8009612704
id_152,23.6879388539
id_153,14.9099087713
id_154,14.457040252
id_155,23.9522611523
id_156,24.5246113989
id_157,36.4638328169
id_158,3.05027932745
id_159,20.3764656162
id_160,43.0157358578
id_161,18.4446643322
id_162,62.6977418245
id_163,17.6362178882
id_164,33.7574304034
id_165,22.8614452459
id_166,21.5613734627
id_167,1.2533924766
id_168,69.2229930415
id_169,18.8955439065
id_170,15.6488520407
id_171,67.9166617627
id_172,22.0231643382
id_173,1.16756339944
id_174,23.9106448222
id_175,-0.0894774289271
id_176,7.34665206747
id_177,15.7949388483
id_178,21.0771725005
id_179,25.6449216546
id_180,42.7869900476
id_181,32.678639548
id_182,28.1129529981
id_183,13.3656438542
id_184,7.81127999124
id_185,42.6114003574
id_186,36.3082116914
id_187,36.6492185222
id_188,16.2896998048
id_189,26.7417868556
id_190,14.5012357799
id_191,14.6276146196
id_192,30.2940427578
id_193,67.982478634
id_194,33.8093665492
id_195,12.368862621
id_196,64.1237737551
id_197,16.5478227755
id_198,21.7175599489
id_199,21.5510279901
id_200,126.49693415
id_201,21.608676381
id_202,61.5279866156
id_203,3.50579013676
id_204,56.9995886552
id_205,36.7930457298
id_206,14.960149221
id_207,14.4460968575
id_208,65.9783605545
id_209,12.0462707247
id_210,35.4447244467
id_211,67.8706648265
id_212,18.2861735399
id_213,112.015386684
id_214,42.3777861278
id_215,75.5499534794
id_216,92.7243926711
id_217,69.0240159508
id_218,29.5845644617
id_219,19.7969198717
id_220,28.6801515247
id_221,58.2579166504
id_222,26.074547342
id_223,39.7545922748
id_224,42.5541846119
id_225,9.13694551265
id_226,6.74595145563
id_227,80.9110582052
id_228,29.7200510457
id_229,2.25023716334
id_230,38.3013809843
id_231,15.7086256294
id_232,21.2497068843
id_233,7.50456093501
id_234,12.6785971419
id_235,26.42629865
id_236,14.9657289583
id_237,3.52295361239
id_238,23.4718951294
id_239,12.7088273257
