id,value
id_0,25.6264804907
id_1,63.997884773
id_2,21.9703276004
id_3,29.9928828222
id_4,10.2710188631
id_5,36.2626010999
id_6,41.720274753
id_7,16.6597773547
id_8,50.6776885078
id_9,32.8272912592
id_10,38.9568279495
id_11,53.2802893432
id_12,34.9057695673
id_13,38.6863781992
id_14,28.2804952525
id_15,13.0364583234
id_16,49.8043668589
id_17,24.3332579424
id_18,17.8189737465
id_19,18.6897962518
id_20,15.8954039907
id_21,30.6460715834
id_22,37.7111189986
id_23,14.7291828708
id_24,63.5467789262
id_25,44.2554967607
id_26,25.9085013015
id_27,8.06534046689
id_28,29.4023829058
id_29,36.9484773804
id_30,15.4764971661
id_31,11.2603843554
id_32,16.2293424989
id_33,7.34145184794
id_34,17.6893533675
id_35,40.9845286335
id_36,17.3659176958
id_37,27.3224842962
id_38,4.91653695593
id_39,61.4755926212
id_40,47.3845370896
id_41,18.4403373725
id_42,53.6258007784
id_43,18.4911103137
id_44,44.944197025
id_45,50.750054542
id_46,61.1121763251
id_47,40.6506831154
id_48,52.5238961271
id_49,38.1943305989
id_50,29.4427093946
id_51,23.5259781464
id_52,39.0322111192
id_53,24.4216500183
id_54,38.3593646575
id_55,41.9403320862
id_56,24.6061353536
id_57,22.3887216463
id_58,36.7013522117
id_59,34.2431362619
id_60,14.4286141518
id_61,24.570938572
id_62,32.4256098837
id_63,55.2054914367
id_64,50.200824006
id_65,27.301075724
id_66,38.2096993854
id_67,51.8993202029
id_68,26.3159852717
id_69,36.9730950253
id_70,64.8030877185
id_71,54.2455973687
id_72,41.8288541993
id_73,14.215061865
id_74,11.1601258407
id_75,37.352116352
id_76,63.4392687611
id_77,2.56847048598
id_78,42.4090705651
id_79,39.7733361248
id_80,9.49772581578
id_81,22.8676436626
id_82,5.79602557687
id_83,30.1756395764
id_84,9.99819158992
id_85,5.61858610204
id_86,16.7210233272
id_87,11.3193015456
id_88,15.035717219
id_89,27.1885043887
id_90,34.3032168408
id_91,11.2921169068
id_92,14.2150314318
id_93,9.84563786333
id_94,37.8440617177
id_95,16.6825045658
id_96,14.7878753023
id_97,7.65942618198
id_98,10.5750756471
id_99,6.96994452263
id_100,10.9312265362
id_101,17.544893162
id_102,9.84001100419
id_103,6.79113346179
id_104,13.6841606394
id_105,37.0217848532
id_106,24.7354158179
id_107,7.32378038254
id_108,16.972621929
id_109,16.2151409978
id_110,13.0918341381
id_111,15.5440862599
id_112,14.9660748287
id_113,26.0874988402
id_114,23.1046167296
id_115,18.1087671648
id_116,8.12076363642
id_117,45.6536143493
id_118,25.9222609397
id_119,1.62853649306
id_120,0.451675124385
id_121,10.8693401024
id_122,13.8312877962
id_123,13.665053851
id_124,6.33741974896
id_125,26.7457666359
id_126,22.0169643276
id_127,11.1646349
id_128,21.768264372
id_129,18.1075402676
id_130,4.07894889293
id_131,35.4213335289
id_132,17.1632195134
id_133,22.8781554471
id_134,26.477004351
id_135,22.5246878459
id_136,9.59876747753
id_137,22.2660318517
id_138,76.1549675193
id_139,60.7587782235
id_140,28.7367538001
id_141,19.3531469181
id_142,24.06292993
id_143,6.78553372409
id_144,11.0925372672
id_145,11.7801681829
id_146,18.2409881184
id_147,8.00445580283
id_148,11.4982532965
id_149,14.2563715335
id_150,45.0643582788
id_151,19.4492223501
id_152,25.0077321901
id_153,14.2980454153
id_154,15.4215400272
id_155,25.0220260107
id_156,20.4673941539
id_157,36.924709414
id_158,3.13363221276
id_159,18.8069987441
id_160,44.6768993374
id_161,18.6230192486
id_162,58.5200604612
id_163,18.1352738247
id_164,36.2012076502
id_165,24.8262759977
id_166,23.2282703265
id_167,0.571733991585
id_168,72.6625044026
id_169,18.327083434
id_170,17.3648205162
id_171,74.2990111276
id_172,20.744557173
id_173,1.87909143
id_174,25.6197045709
id_175,4.01788156692
id_176,6.78811025744
id_177,17.0026005544
id_178,19.6957388889
id_179,20.9606493658
id_180,45.7549519849
id_181,30.3693938553
id_182,26.3679126037
id_183,11.9816303875
id_184,6.8409050892
id_185,41.2783692204
id_186,36.8483298728
id_187,36.2766266009
id_188,15.5445441316
id_189,23.3885221008
id_190,14.2027584865
id_191,16.2838528164
id_192,32.027039321
id_193,76.8355341428
id_194,27.8774812599
id_195,13.0073962819
id_196,65.4875468727
id_197,16.3409117019
id_198,18.6688189382
id_199,23.294590602
id_200,151.002044322
id_201,25.5170683032
id_202,56.4087975558
id_203,6.79183383344
id_204,62.4975248777
id_205,35.873725448
id_206,13.4166062722
id_207,13.9699249227
id_208,66.496140072
id_209,12.924311518
id_210,32.5206678769
id_211,72.5940893616
id_212,21.7839787836
id_213,97.6284845831
id_214,40.9613947464
id_215,76.1442012055
id_216,102.381943
id_217,78.3170522264
id_218,29.3045867261
id_219,21.9654332769
id_220,31.8750752798
id_221,56.0061788571
id_222,27.9960482741
id_223,39.1616922993
id_224,46.2450770278
id_225,6.62394954029
id_226,4.00265063613
id_227,78.4949618255
id_228,29.1221265242
id_229,-0.792914538356
id_230,40.0725145808
id_231,13.2515062413
id_232,20.0380329152
id_233,8.23472592244
id_234,12.3052708146
id_235,22.3697993553
id_236,11.9755952715
id_237,-1.84272237032
id_238,23.0171712103
id_239,1.1590997537
