id,value
id_0,26.4873024709
id_1,61.2992510761
id_2,20.4161649354
id_3,28.4138630953
id_4,10.4515395981
id_5,35.8337771309
id_6,39.2810720934
id_7,16.6188800442
id_8,47.7359866963
id_9,33.1383480643
id_10,39.0440556107
id_11,58.2994987751
id_12,36.9324369705
id_13,40.9612628248
id_14,26.3983864576
id_15,12.8327506953
id_16,53.1091657082
id_17,22.2637449087
id_18,19.3269637294
id_19,19.5893202287
id_20,15.030242511
id_21,28.4217550304
id_22,36.7279898219
id_23,9.24596618769
id_24,58.023464649
id_25,44.2814384518
id_26,28.5838110215
id_27,9.38579526128
id_28,28.9932036308
id_29,35.7573205933
id_30,18.2217469608
id_31,11.922733562
id_32,16.5938700512
id_33,6.23287207416
id_34,18.1318145642
id_35,39.5115300899
id_36,19.8177452156
id_37,28.7327997936
id_38,6.50455651948
id_39,59.9888002459
id_40,47.1082046075
id_41,17.1059665022
id_42,49.486036081
id_43,18.333076641
id_44,43.4436796323
id_45,51.3230786284
id_46,61.4715728301
id_47,39.9528276404
id_48,50.8760043101
id_49,41.6652459179
id_50,30.3302089488
id_51,24.692794197
id_52,41.286390061
id_53,25.1649732301
id_54,38.2175047032
id_55,39.7692473392
id_56,24.6005286416
id_57,21.8029918994
id_58,37.8422958159
id_59,31.2659523693
id_60,15.5270929296
id_61,23.6645878492
id_62,31.4897014505
id_63,54.2182268125
id_64,48.6596601768
id_65,26.5150016736
id_66,40.8003564763
id_67,54.5733992057
id_68,27.7393758692
id_69,38.7475841617
id_70,64.6425194732
id_71,53.118820781
id_72,43.3310587179
id_73,11.6374596646
id_74,11.9745580235
id_75,35.295501335
id_76,60.124581154
id_77,3.55019635688
id_78,44.4893901353
id_79,40.0762562785
id_80,8.11823571191
id_81,22.3169929212
id_82,7.9131340102
id_83,34.2479833079
id_84,10.6472282523
id_85,5.58905065096
id_86,16.4741023569
id_87,11.8257366613
id_88,13.5616142858
id_89,28.0303659776
id_90,30.3633038084
id_91,11.4240322659
id_92,13.9081977379
id_93,7.96810065619
id_94,36.5105530231
id_95,16.3030047625
id_96,15.4613317776
id_97,8.80662457522
id_98,10.8252043024
id_99,4.35443464128
id_100,13.0439936785
id_101,18.3969890897
id_102,11.2839437657
id_103,5.50929532323
id_104,14.1602487332
id_105,36.7393461321
id_106,27.6409814239
id_107,8.18014595159
id_108,17.1828040744
id_109,16.7546425152
id_110,14.0489866712
id_111,17.3131841751
id_112,13.3383667759
id_113,28.4151181015
id_114,22.1989384158
id_115,15.4288258356
id_116,9.40098160173
id_117,44.4131932871
id_118,29.305984828
id_119,1.85770666245
id_120,2.20297973804
id_121,11.8056745092
id_122,15.7892014754
id_123,15.5511396416
id_124,6.60655498959
id_125,26.3344587723
id_126,21.4375817053
id_127,13.7746079996
id_128,20.0643308556
id_129,18.3035982614
id_130,4.35988935207
id_131,36.1686897439
id_132,14.4289075903
id_133,27.2820239337
id_134,23.5718821984
id_135,20.7480652434
id_136,10.4349188314
id_137,20.1041891358
id_138,77.3107686893
id_139,64.2056541606
id_140,27.4656942551
id_141,17.1300628836
id_142,24.8522812865
id_143,8.34941251651
id_144,11.1351935822
id_145,10.9360413085
id_146,21.4183774535
id_147,7.54271101381
id_148,13.9946674542
id_149,16.860149796
id_150,50.7692742354
id_151,21.2642595258
id_152,24.4897542635
id_153,15.4870566118
id_154,14.9922728082
id_155,27.9063625388
id_156,21.5737696844
id_157,34.163383159
id_158,3.85870892113
id_159,19.8539586955
id_160,43.5115515812
id_161,18.5516200409
id_162,55.5907820695
id_163,19.4589184062
id_164,36.5997884675
id_165,24.4596190887
id_166,21.4243079655
id_167,1.28785227222
id_168,65.8921339546
id_169,18.5132104661
id_170,17.8248571156
id_171,67.4872468097
id_172,20.9348129712
id_173,2.7078631689
id_174,23.7260895415
id_175,2.51038701012
id_176,6.43849283473
id_177,18.7469936289
id_178,20.1355115834
id_179,21.0553423828
id_180,42.5796776115
id_181,27.5819005131
id_182,29.1933518606
id_183,12.8706089394
id_184,8.6861499686
id_185,41.3227215187
id_186,36.3150382035
id_187,32.8805772531
id_188,16.559236644
id_189,21.7250742498
id_190,14.7076011223
id_191,15.156201287
id_192,33.0483632759
id_193,77.2749316744
id_194,29.8473634255
id_195,11.5185753032
id_196,61.3069172601
id_197,15.3578112889
id_198,19.8450551271
id_199,23.4855923123
id_200,125.210564996
id_201,26.3206930887
id_202,58.2146333621
id_203,5.41702438244
id_204,62.7476657107
id_205,35.2511050398
id_206,16.9342607398
id_207,14.3174184267
id_208,64.2939062612
id_209,13.7242648833
id_210,28.1191584614
id_211,72.2326923718
id_212,20.7869946799
id_213,116.425878446
id_214,39.9513457536
id_215,83.6158215854
id_216,92.1218647684
id_217,70.4918037054
id_218,29.3736163073
id_219,19.268284588
id_220,31.9773968723
id_221,55.6454736396
id_222,28.7247563791
id_223,39.750281696
id_224,43.937212866
id_225,8.04435810917
id_226,3.99185288973
id_227,69.2253412505
id_228,28.3044705708
id_229,1.84725615646
id_230,40.6109670004
id_231,15.1594065495
id_232,21.603408242
id_233,7.98582691154
id_234,12.2668103429
id_235,22.020050912
id_236,12.7509858429
id_237,0.545888613141
id_238,21.7586628985
id_239,1.0078900907
