id,value
id_0,25.0215860637
id_1,65.5716318026
id_2,19.4999220933
id_3,29.4455671648
id_4,9.55170220473
id_5,33.2511811892
id_6,41.8496656222
id_7,18.2291616482
id_8,54.7384105944
id_9,32.7206940731
id_10,39.0692777021
id_11,59.9890629286
id_12,36.0654623268
id_13,41.2836653709
id_14,26.5641745598
id_15,13.921056388
id_16,53.1591673173
id_17,25.4206786396
id_18,19.2449714677
id_19,20.9630991193
id_20,15.7431279695
id_21,33.008532474
id_22,40.8476699358
id_23,11.2230331027
id_24,62.7710749943
id_25,46.3914004538
id_26,29.4999678541
id_27,5.36280600437
id_28,29.1097138411
id_29,37.9747104041
id_30,17.8293585979
id_31,11.5136655287
id_32,16.4951211009
id_33,6.66296256375
id_34,14.5145313328
id_35,43.7993213804
id_36,22.325656786
id_37,28.4727012176
id_38,5.31143884201
id_39,60.719065964
id_40,48.5557785658
id_41,21.3226283132
id_42,53.3303604798
id_43,20.2021073515
id_44,44.7982177181
id_45,50.0698660128
id_46,58.0550446642
id_47,42.5668710141
id_48,56.2884730899
id_49,39.4252761684
id_50,30.60642629
id_51,23.8804917118
id_52,40.6065067121
id_53,22.9047576249
id_54,37.2765057594
id_55,39.0486435721
id_56,25.4428436265
id_57,22.2439302223
id_58,36.8200766429
id_59,32.7376045037
id_60,13.8422570618
id_61,22.6892355861
id_62,33.8725138835
id_63,53.0383704269
id_64,51.5439891859
id_65,24.7551030161
id_66,37.9643093971
id_67,53.7520966142
id_68,28.03322595
id_69,40.3513859299
id_70,64.0364618408
id_71,56.2958250985
id_72,40.9387232007
id_73,14.5159139395
id_74,13.2232602471
id_75,36.1748629373
id_76,62.7370102566
id_77,2.30743195408
id_78,41.1612581456
id_79,42.8092498759
id_80,7.60044733948
id_81,22.7045540882
id_82,5.2187579758
id_83,31.6286831706
id_84,9.47092430212
id_85,5.17478795543
id_86,17.291374654
id_87,10.9301241501
id_88,20.4008434244
id_89,26.2649488337
id_90,35.0735394635
id_91,11.524374407
id_92,13.2540109441
id_93,9.69702528344
id_94,37.2263310407
id_95,16.0241237457
id_96,16.2075109494
id_97,7.82349313829
id_98,11.8768701893
id_99,4.42044203983
id_100,8.74399806665
id_101,18.4997505216
id_102,12.5372242785
id_103,7.9728502187
id_104,12.6651166806
id_105,36.2313894935
id_106,26.4909506426
id_107,7.82924886
id_108,17.8414028658
id_109,15.3913591777
id_110,11.7560050588
id_111,16.4535798231
id_112,16.7379951044
id_113,26.8690282688
id_114,19.0713790799
id_115,16.665869229
id_116,5.99235287887
id_117,47.0898126378
id_118,26.3815143081
id_119,0.220936525196
id_120,-0.726531681158
id_121,9.52253978307
id_122,12.2547296419
id_123,13.130858845
id_124,7.42088844483
id_125,24.3574427506
id_126,20.1777473473
id_127,9.60775196877
id_128,20.1608874591
id_129,14.71301973
id_130,-0.649097190487
id_131,32.9260999998
id_132,13.8913037961
id_133,20.5825149121
id_134,26.6948152221
id_135,23.7968384331
id_136,8.95388853094
id_137,21.3203141071
id_138,79.1312178365
id_139,61.4731850235
id_140,26.8317990588
id_141,17.8896359401
id_142,23.9721045993
id_143,6.6900885482
id_144,11.1102777291
id_145,10.469160673
id_146,18.3973653715
id_147,8.09689935429
id_148,13.5204982789
id_149,15.2104132519
id_150,45.9389734536
id_151,21.7577853425
id_152,21.6317248575
id_153,14.9142537806
id_154,14.1781549123
id_155,26.5726169466
id_156,26.2752606157
id_157,36.0530403787
id_158,4.92792939807
id_159,23.4930031973
id_160,42.3117739477
id_161,19.1300430219
id_162,64.8382984726
id_163,16.783546392
id_164,33.1892697371
id_165,23.4422989498
id_166,24.6179245044
id_167,0.0045041662827
id_168,66.7737202839
id_169,15.1766043018
id_170,15.6685133447
id_171,69.7397961872
id_172,19.8368342465
id_173,1.61349897685
id_174,24.6463837647
id_175,-0.654357495313
id_176,7.12748136541
id_177,17.959217501
id_178,19.5660813502
id_179,25.384749984
id_180,43.3163029615
id_181,32.419268668
id_182,28.3785743748
id_183,13.2254425966
id_184,5.73979724273
id_185,42.1010012271
id_186,35.8358637251
id_187,35.1077389628
id_188,17.323116983
id_189,23.6392211817
id_190,14.2155871321
id_191,17.1431440563
id_192,30.6427054245
id_193,60.0744197215
id_194,29.8118770085
id_195,9.54568879214
id_196,64.7129124651
id_197,16.1522461444
id_198,20.2155203693
id_199,21.5246268925
id_200,124.927643415
id_201,21.8708878807
id_202,59.0773783517
id_203,6.22912700423
id_204,60.7470048901
id_205,36.3029618771
id_206,14.9002229441
id_207,13.9887512174
id_208,63.7145341547
id_209,14.5364457382
id_210,35.5064922823
id_211,69.4176577617
id_212,18.6107054538
id_213,114.989667555
id_214,41.8521554954
id_215,79.9294324123
id_216,92.3269078619
id_217,73.3132096903
id_218,31.1275250721
id_219,18.8728166392
id_220,29.2957149513
id_221,58.286335158
id_222,28.6993830858
id_223,39.3973019236
id_224,44.4957049308
id_225,10.5201517831
id_226,2.76983781867
id_227,81.4119232395
id_228,32.3567561308
id_229,1.12771859702
id_230,41.2303492026
id_231,16.8079225504
id_232,22.972693721
id_233,7.81860446931
id_234,15.5763991683
id_235,26.5233073912
id_236,13.7387498926
id_237,2.79481759306
id_238,23.075149716
id_239,10.1024010538
